recurring_id,type,category,subcategory,priority,account,title,amount,tags,parameters,regularity,start,end,`weekdays
,Expense,Household,,Bills,,Rent,17000,"monthly, bills",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Electricity,8000,"monthly, bills",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,WiFi,1600,"monthly, bills",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Gas,1000,"monthly, bills",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Water Bill,500,"monthly, bills",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Health,,Wants,,Gym,3000,"monthly, luxury",1,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T"
,Expense,Pets,,Pets,,Pet Monthly,3000,"monthly, pets",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Pets,,Pets,,Groom pets,2000,"monthly, pets",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Software,,Wants,,minimalist phone,180,"monthly, subscription",14,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Software,,Wants,,YouTube Premium,159,"monthly, subscription",14,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Income,Scale Up Salary,,Income,,Tr Scale Up,150000,salary,5,Monthly (Date),04/01/2026,12/31/2048,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Grocery Monthly,5000,"monthly, bills","1, Friday",Monthly (Week+Day),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Health,,Wants,,Spa Day 1,1000,"monthly, luxury","1, Monday",Monthly (Week+Day),04/01/2026,12/31/2088,"T,T,T,T,T,T,T"
,Expense,Health,,Wants,,Spa Day 2,1000,"monthly, luxury","3, Monday",Monthly (Week+Day),04/01/2026,12/31/2088,"T,T,T,T,T,T,T"
,Expense,Household,,Bills,,Sleeping pills,1000,"monthly, luxury","1, Saturday",Monthly (Week+Day),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Grocery,2500,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Pets,,Pets,,Lee,500,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Laundry,400,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Transportation,100,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Globe Load,220,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Household,,Bills,,Drinking Water,100,weekly,Saturday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Health,,Bills,,Chill Pill,2000,"monthly, bills","1, Saturday",Monthly (Week+Day),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Income,Scale Up Salary,,Income,,Kr Scale Up,55000,salary,5,Monthly (Date),04/01/2026,12/31/2048,"T,T,T,T,T,T,T`"
,Income,Gruns Salary,,Income,,Tr Gruns,23000,weekly,Friday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Allowance,,Wants,,Kr Allowance,5000,"monthly, luxury",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Allowance,,Wants,,Tr Allowance,5000,"monthly, luxury",6,Monthly (Date),04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
,Expense,Gruns Salary,,Bills,,Gruns chols,5000,weekly,Friday,Weekly,04/01/2026,12/31/2088,"T,T,T,T,T,T,T`"
